Key,ValueInt,ValueTimeStamp
VA,0,500
AB,1,500
DA,2,500
BA,3,500
AC,4,500
AA,5,500
BF,6,500
AA,7,500
CG,8,500
AA,9,500
AA,10,500
BC,11,500
DA,12,500
BF,13,500
AD,14,500
DA,15,500
AD,16,500
AL,17,500
AC,18,500
AG,19,500
AA,20,500
AA,21,500
AF,22,500
HM,23,500
AX,24,500
ES,25,500
EA,26,500
AF,27,500
BD,28,500
GA,29,500
BC,30,500
AF,31,500
BK,32,500
FG,33,500
ME,34,500
AA,35,500
AB,36,500
CE,37,500
JA,38,500
AA,39,500
XA,40,500
AA,41,500
KB,42,500
AA,43,500
AE,44,500
AD,45,500
DA,46,500
AA,47,500
DA,48,500
DC,49,500
BA,50,500
AA,51,500
AB,52,500
AA,53,500
KD,54,500
FA,55,500
CK,56,500
BA,57,500
AA,58,500
FD,59,500
JY,60,500
BL,61,500
BA,62,500
HA,63,500
AI,64,500
GD,65,500
BI,66,500
FB,67,500
AD,68,500
EI,69,500
AA,70,500
EA,71,500
BB,72,500
JA,73,500
KE,74,500
CB,75,500
BH,76,500
BA,77,500
AI,78,500
CA,79,500
AA,80,500
AG,81,500
AA,82,500
AC,83,500
AC,84,500
AD,85,500
DI,86,500
GI,87,500
AA,88,500
AK,89,500
AB,90,500
AA,91,500
CA,92,500
AD,93,500
AL,94,500
CA,95,500
BD,96,500
CA,97,500
BC,98,500
TA,99,500
AB,100,500
CA,101,500
AC,102,500
AB,103,500
AA,104,500
AH,105,500
AB,106,500
AU,107,500
CA,108,500
CG,109,500
AA,110,500
AB,111,500
SI,112,500
AI,113,500
FA,114,500
ZA,115,500
AS,116,500
BA,117,500
EB,118,500
AB,119,500
CV,120,500
AB,121,500
GC,122,500
AB,123,500
BE,124,500
AD,125,500
DC,126,500
AA,127,500
BB,128,500
AA,129,500
BC,130,500
GA,131,500
BB,132,500
AE,133,500
AA,134,500
AA,135,500
BA,136,500
BA,137,500
EA,138,500
BA,139,500
AA,140,500
AA,141,500
AH,142,500
BC,143,500
AF,144,500
AE,145,500
BD,146,500
