Key,ValueInt,ValueTimeStamp
A,0,500
R,1,500
A,2,500
A,3,500
A,4,500
C,5,500
A,6,500
B,7,500
A,8,500
X,9,500
B,10,500
A,11,500
A,12,500
A,13,500
E,14,500
A,15,500
C,16,500
A,17,500
H,18,500
A,19,500
A,20,500
B,21,500
A,22,500
B,23,500
C,24,500
A,25,500
S,26,500
A,27,500
A,28,500
J,29,500
I,30,500
V,31,500
B,32,500
A,33,500
A,34,500
A,35,500
N,36,500
A,37,500
A,38,500
O,39,500
A,40,500
D,41,500
E,42,500
A,43,500
B,44,500
A,45,500
A,46,500
A,47,500
K,48,500
T,49,500
U,50,500
K,51,500
D,52,500
E,53,500
A,54,500
B,55,500
A,56,500
A,57,500
A,58,500
A,59,500
C,60,500
A,61,500
E,62,500
A,63,500
A,64,500
C,65,500
B,66,500
B,67,500
C,68,500
P,69,500
D,70,500
A,71,500
C,72,500
B,73,500
A,74,500
V,75,500
A,76,500
E,77,500
A,78,500
A,79,500
A,80,500
D,81,500
A,82,500
I,83,500
D,84,500
A,85,500
A,86,500
A,87,500
D,88,500
A,89,500
A,90,500
J,91,500
C,92,500
J,93,500
D,94,500
A,95,500
C,96,500
A,97,500
A,98,500
C,99,500
A,100,500
C,101,500
A,102,500
K,103,500
H,104,500
A,105,500
A,106,500
H,107,500
C,108,500
A,109,500
I,110,500
A,111,500
E,112,500
A,113,500
H,114,500
S,115,500
B,116,500
C,117,500
A,118,500
T,119,500
A,120,500
I,121,500
D,122,500
A,123,500
A,124,500
A,125,500
A,126,500
A,127,500
A,128,500
A,129,500
B,130,500
A,131,500
A,132,500
A,133,500
N,134,500
A,135,500
A,136,500
C,137,500
M,138,500
C,139,500
M,140,500
B,141,500
F,142,500
A,143,500
E,144,500
A,145,500
A,146,500
A,147,500
D,148,500
A,149,500
A,150,500
B,151,500
A,152,500
G,153,500
A,154,500
A,155,500
A,156,500
I,157,500
A,158,500
D,159,500
A,160,500
A,161,500
E,162,500
C,163,500
B,164,500
M,165,500
N,166,500
B,167,500
B,168,500
A,169,500
A,170,500
A,171,500
A,172,500
A,173,500
A,174,500
A,175,500
A,176,500
F,177,500
Q,178,500
B,179,500
C,180,500
K,181,500
B,182,500
A,183,500
A,184,500
A,185,500
A,186,500
Z,187,500
B,188,500
A,189,500
W,190,500
C,191,500
C,192,500
A,193,500
C,194,500
B,195,500
A,196,500
B,197,500
A,198,500
A,199,500
F,200,500
F,201,500
U,202,500
C,203,500
C,204,500
C,205,500
B,206,500
D,207,500
B,208,500
A,209,500
A,210,500
B,211,500
S,212,500
Z,213,500
A,214,500
A,215,500
A,216,500
A,217,500
A,218,500
A,219,500
G,220,500
A,221,500
B,222,500
A,223,500
A,224,500
A,225,500
A,226,500
A,227,500
S,228,500
M,229,500
C,230,500
A,231,500
B,232,500
A,233,500
B,234,500
G,235,500
H,236,500
B,237,500
F,238,500
D,239,500
E,240,500
B,241,500
A,242,500
A,243,500
A,244,500
A,245,500
R,246,500
B,247,500
A,248,500
A,249,500
C,250,500
A,251,500
F,252,500
C,253,500
A,254,500
A,255,500
A,256,500
A,257,500
A,258,500
B,259,500
A,260,500
A,261,500
E,262,500
B,263,500
F,264,500
B,265,500
A,266,500
A,267,500
C,268,500
A,269,500
F,270,500
B,271,500
O,272,500
A,273,500
A,274,500
B,275,500
A,276,500
A,277,500
A,278,500
E,279,500
B,280,500
F,281,500
C,282,500
A,283,500
A,284,500
A,285,500
A,286,500
A,287,500
A,288,500
A,289,500
A,290,500
A,291,500
Q,292,500
A,293,500
A,294,500
D,295,500
R,296,500
A,297,500
D,298,500
A,299,500
A,300,500
A,301,500
D,302,500
D,303,500
C,304,500
B,305,500
C,306,500
A,307,500
A,308,500
A,309,500
A,310,500
C,311,500
S,312,500
A,313,500
B,314,500
C,315,500
S,316,500
A,317,500
A,318,500
I,319,500
V,320,500
B,321,500
C,322,500
F,323,500
B,324,500
A,325,500
E,326,500
B,327,500
A,328,500
A,329,500
A,330,500
A,331,500
E,332,500
A,333,500
B,334,500
C,335,500
F,336,500
A,337,500
Z,338,500
E,339,500
F,340,500
B,341,500
T,342,500
A,343,500
A,344,500
B,345,500
K,346,500
G,347,500
A,348,500
A,349,500
B,350,500
A,351,500
A,352,500
A,353,500
A,354,500
B,355,500
T,356,500
D,357,500
C,358,500
E,359,500
B,360,500
D,361,500
A,362,500
A,363,500
B,364,500
B,365,500
E,366,500
A,367,500
A,368,500
A,369,500
E,370,500
A,371,500
A,372,500
A,373,500
A,374,500
A,375,500
A,376,500
C,377,500
A,378,500
A,379,500
B,380,500
A,381,500
A,382,500
G,383,500
D,384,500
D,385,500
Q,386,500
A,387,500
B,388,500
E,389,500
B,390,500
L,391,500
I,392,500
A,393,500
D,394,500
A,395,500
B,396,500
A,397,500
B,398,500
M,399,500
A,400,500
A,401,500
A,402,500
B,403,500
B,404,500
C,405,500
A,406,500
G,407,500
I,408,500
A,409,500
B,410,500
A,411,500
A,412,500
A,413,500
E,414,500
B,415,500
K,416,500
A,417,500
B,418,500
B,419,500
D,420,500
A,421,500
A,422,500
B,423,500
C,424,500
A,425,500
B,426,500
D,427,500
R,428,500
K,429,500
C,430,500
C,431,500
H,432,500
I,433,500
B,434,500
C,435,500
J,436,500
A,437,500
C,438,500
E,439,500
B,440,500
F,441,500
A,442,500
A,443,500
B,444,500
A,445,500
E,446,500
D,447,500
T,448,500
A,449,500
A,450,500
A,451,500
F,452,500
A,453,500
A,454,500
B,455,500
B,456,500
A,457,500
A,458,500
D,459,500
A,460,500
D,461,500
H,462,500
A,463,500
A,464,500
A,465,500
E,466,500
G,467,500
A,468,500
B,469,500
A,470,500
G,471,500
I,472,500
B,473,500
A,474,500
A,475,500
K,476,500
A,477,500
A,478,500
H,479,500
D,480,500
B,481,500
A,482,500
A,483,500
A,484,500
A,485,500
B,486,500
D,487,500
A,488,500
B,489,500
I,490,500
A,491,500
D,492,500
N,493,500
J,494,500
A,495,500
A,496,500
I,497,500
B,498,500
A,499,500
A,500,500
A,501,500
N,502,500
C,503,500
A,504,500
D,505,500
A,506,500
A,507,500
A,508,500
B,509,500
A,510,500
A,511,500
A,512,500
T,513,500
B,514,500
E,515,500
A,516,500
A,517,500
C,518,500
E,519,500
E,520,500
A,521,500
F,522,500
W,523,500
C,524,500
X,525,500
A,526,500
D,527,500
A,528,500
I,529,500
B,530,500
B,531,500
I,532,500
A,533,500
C,534,500
D,535,500
B,536,500
N,537,500
C,538,500
A,539,500
A,540,500
A,541,500
A,542,500
Q,543,500
A,544,500
A,545,500
A,546,500
A,547,500
A,548,500
A,549,500
A,550,500
I,551,500
B,552,500
B,553,500
A,554,500
A,555,500
A,556,500
A,557,500
L,558,500
A,559,500
A,560,500
H,561,500
G,562,500
D,563,500
A,564,500
A,565,500
D,566,500
A,567,500
M,568,500
E,569,500
C,570,500
E,571,500
D,572,500
C,573,500
G,574,500
A,575,500
A,576,500
D,577,500
A,578,500
G,579,500
C,580,500
A,581,500
C,582,500
D,583,500
A,584,500
E,585,500
K,586,500
A,587,500
A,588,500
A,589,500
A,590,500
A,591,500
A,592,500
B,593,500
U,594,500
K,595,500
G,596,500
G,597,500
A,598,500
C,599,500
A,600,500
A,601,500
A,602,500
A,603,500
A,604,500
C,605,500
D,606,500
A,607,500
V,608,500
A,609,500
B,610,500
H,611,500
B,612,500
P,613,500
B,614,500
B,615,500
H,616,500
A,617,500
A,618,500
B,619,500
F,620,500
A,621,500
A,622,500
A,623,500
B,624,500
E,625,500
A,626,500
A,627,500
B,628,500
A,629,500
A,630,500
A,631,500
E,632,500
A,633,500
S,634,500
A,635,500
A,636,500
A,637,500
A,638,500
A,639,500
A,640,500
A,641,500
I,642,500
A,643,500
E,644,500
A,645,500
C,646,500
D,647,500
C,648,500
B,649,500
C,650,500
A,651,500
R,652,500
A,653,500
C,654,500
E,655,500
A,656,500
B,657,500
A,658,500
B,659,500
L,660,500
A,661,500
A,662,500
B,663,500
A,664,500
B,665,500
B,666,500
B,667,500
A,668,500
D,669,500
R,670,500
D,671,500
D,672,500
A,673,500
B,674,500
A,675,500
Y,676,500
F,677,500
A,678,500
C,679,500
C,680,500
B,681,500
A,682,500
A,683,500
A,684,500
A,685,500
A,686,500
A,687,500
D,688,500
B,689,500
B,690,500
A,691,500
A,692,500
A,693,500
B,694,500
A,695,500
B,696,500
A,697,500
A,698,500
B,699,500
A,700,500
A,701,500
H,702,500
A,703,500
B,704,500
F,705,500
U,706,500
A,707,500
F,708,500
B,709,500
A,710,500
F,711,500
A,712,500
A,713,500
A,714,500
A,715,500
E,716,500
A,717,500
A,718,500
A,719,500
A,720,500
B,721,500
A,722,500
C,723,500
F,724,500
D,725,500
B,726,500
B,727,500
A,728,500
A,729,500
A,730,500
E,731,500
C,732,500
E,733,500
A,734,500
C,735,500
A,736,500
H,737,500
B,738,500
C,739,500
C,740,500
A,741,500
G,742,500
A,743,500
A,744,500
B,745,500
A,746,500
X,747,500
A,748,500
A,749,500
A,750,500
B,751,500
C,752,500
H,753,500
A,754,500
A,755,500
A,756,500
U,757,500
B,758,500
A,759,500
A,760,500
A,761,500
B,762,500
F,763,500
B,764,500
C,765,500
A,766,500
A,767,500
C,768,500
A,769,500
V,770,500
A,771,500
A,772,500
C,773,500
A,774,500
B,775,500
S,776,500
P,777,500
E,778,500
K,779,500
J,780,500
A,781,500
D,782,500
A,783,500
A,784,500
E,785,500
A,786,500
C,787,500
A,788,500
A,789,500
N,790,500
E,791,500
A,792,500
A,793,500
K,794,500
T,795,500
D,796,500
A,797,500
D,798,500
J,799,500
A,800,500
A,801,500
A,802,500
P,803,500
B,804,500
B,805,500
A,806,500
D,807,500
A,808,500
V,809,500
B,810,500
N,811,500
A,812,500
A,813,500
G,814,500
A,815,500
J,816,500
A,817,500
B,818,500
C,819,500
B,820,500
D,821,500
A,822,500
M,823,500
I,824,500
A,825,500
A,826,500
A,827,500
C,828,500
A,829,500
A,830,500
A,831,500
H,832,500
A,833,500
G,834,500
H,835,500
A,836,500
A,837,500
B,838,500
A,839,500
J,840,500
J,841,500
A,842,500
A,843,500
A,844,500
A,845,500
G,846,500
A,847,500
C,848,500
P,849,500
C,850,500
A,851,500
Q,852,500
I,853,500
M,854,500
A,855,500
G,856,500
B,857,500
B,858,500
J,859,500
G,860,500
A,861,500
B,862,500
A,863,500
A,864,500
Q,865,500
D,866,500
F,867,500
A,868,500
B,869,500
A,870,500
C,871,500
B,872,500
U,873,500
B,874,500
A,875,500
B,876,500
B,877,500
A,878,500
A,879,500
G,880,500
A,881,500
A,882,500
D,883,500
D,884,500
H,885,500
A,886,500
A,887,500
Q,888,500
A,889,500
A,890,500
C,891,500
A,892,500
A,893,500
A,894,500
A,895,500
C,896,500
A,897,500
A,898,500
I,899,500
B,900,500
A,901,500
A,902,500
A,903,500
B,904,500
A,905,500
B,906,500
A,907,500
C,908,500
A,909,500
C,910,500
A,911,500
D,912,500
A,913,500
H,914,500
B,915,500
A,916,500
A,917,500
F,918,500
A,919,500
E,920,500
S,921,500
B,922,500
A,923,500
B,924,500
A,925,500
C,926,500
A,927,500
A,928,500
B,929,500
B,930,500
B,931,500
F,932,500
P,933,500
A,934,500
A,935,500
B,936,500
A,937,500
B,938,500
L,939,500
A,940,500
F,941,500
A,942,500
C,943,500
N,944,500
C,945,500
A,946,500
A,947,500
J,948,500
A,949,500
K,950,500
D,951,500
B,952,500
C,953,500
E,954,500
I,955,500
A,956,500
A,957,500
A,958,500
A,959,500
A,960,500
C,961,500
A,962,500
H,963,500
B,964,500
A,965,500
K,966,500
G,967,500
A,968,500
A,969,500
A,970,500
V,971,500
I,972,500
A,973,500
A,974,500
A,975,500
L,976,500
H,977,500
A,978,500
A,979,500
A,980,500
R,981,500
A,982,500
A,983,500
J,984,500
F,985,500
E,986,500
G,987,500
H,988,500
U,989,500
A,990,500
Q,991,500
A,992,500
Q,993,500
A,994,500
A,995,500
D,996,500
G,997,500
E,998,500
A,999,500
A,1000,500
Z,1001,500
A,1002,500
D,1003,500
D,1004,500
